Ticker,Date,sentiment,sentiment_7d_avg
MSFT,2025-04-23,0.3742363636363636,0.3742363636363636
MSFT,2025-04-24,0.3742363636363636,0.3742363636363636
MSFT,2025-04-25,0.3742363636363636,0.3742363636363636
MSFT,2025-04-26,0.3742363636363636,0.3742363636363636
MSFT,2025-04-27,0.3742363636363636,0.3742363636363636
MSFT,2025-04-28,0.3742363636363636,0.3742363636363636
MSFT,2025-04-29,0.3742363636363636,0.3742363636363636
MSFT,2025-04-30,0.3742363636363636,0.3742363636363636
MSFT,2025-05-01,0.3742363636363636,0.3742363636363636
MSFT,2025-05-02,0.3742363636363636,0.3742363636363636
MSFT,2025-05-03,0.3742363636363636,0.3742363636363636
MSFT,2025-05-04,0.6057082191780825,0.40730377157089487
NFLX,2025-05-03,0.3859999999999999,0.3859999999999999
NFLX,2025-05-04,0.6235056338028171,0.5047528169014085
NKE,2025-05-03,0.7579,0.7579
NKE,2025-05-04,0.5177955223880595,0.6378477611940297
NVDA,2025-05-03,0.3346333333333334,0.3346333333333334
NVDA,2025-05-04,0.6893199999999999,0.5119766666666666
ORCL,2025-05-03,0.4464,0.4464
ORCL,2025-05-04,0.7681687500000005,0.6072843750000003
PEP,2025-05-03,-0.7544400000000001,-0.7544400000000001
PEP,2025-05-04,-0.06014,-0.40729000000000004
PFE,2025-05-03,-0.5601,-0.5601
PFE,2025-05-04,0.0013359375,-0.27938203125
PLTR,2025-05-03,1.0,1.0
PLTR,2025-05-04,0.8870534482758623,0.9435267241379311
PYPL,2025-05-03,0.7183124999999999,0.7183124999999999
PYPL,2025-05-04,0.5886328125,0.65347265625
QCOM,2025-05-03,0.2001,0.2001
QCOM,2025-05-04,0.7353789473684212,0.46773947368421065
ROKU,2025-05-03,0.2353928571428571,0.2353928571428571
ROKU,2025-05-04,0.5877923076923076,0.41159258241758234
SHOP,2025-05-03,0.2361692307692307,0.2361692307692307
SHOP,2025-05-04,0.598204285714286,0.4171867582417583
SPOT,2025-05-03,0.8435100000000001,0.8435100000000001
SPOT,2025-05-04,0.8206736842105264,0.8320918421052632
SQ,2025-05-03,0.6653800000000001,0.6653800000000001
SQ,2025-05-04,-0.2277150000000002,0.21883249999999993
TGT,2025-05-03,0.5914874999999999,0.5914874999999999
TGT,2025-05-04,0.5174322580645161,0.554459879032258
TSLA,2025-04-19,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-20,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-21,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-22,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-23,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-24,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-25,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-26,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-27,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-28,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-29,-0.0589599999999999,-0.0589599999999999
TSLA,2025-04-30,-0.0589599999999999,-0.0589599999999999
TSLA,2025-05-01,-0.0589599999999999,-0.0589599999999999
TSLA,2025-05-02,-0.0589599999999999,-0.0589599999999999
TSLA,2025-05-03,-0.0589599999999999,-0.0589599999999999
TSLA,2025-05-04,0.0561227272727272,-0.042519610389610316
TWLO,2025-05-03,1.0,1.0
TWLO,2025-05-04,0.9991114285714292,0.9995557142857145
TXN,2025-05-03,-0.2341399999999999,-0.2341399999999999
TXN,2025-05-04,0.3646982142857142,0.06527910714285715
UBER,2025-05-03,-0.214675,-0.214675
UBER,2025-05-04,0.5703193548387099,0.17782217741935494
V,2025-05-03,1.0,1.0
V,2025-05-04,1.0,1.0
WFC,2025-05-03,-0.5011636363636364,-0.5011636363636364
WFC,2025-05-04,0.651227586206897,0.07503197492163033
WMT,2025-05-03,0.22215,0.22215
WMT,2025-05-04,0.4516849999999998,0.33691749999999987
XOM,2025-05-03,-0.5521285714285714,-0.5521285714285714
XOM,2025-05-04,0.4484391891891892,-0.051844691119691116
